timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1502930000000.0,4285.08,4108.37,1199.888264,5233,302.0,293.96,9537.84646,5658,21984.74023,21750.73047,311030000.0,6322.72021,6221.91016,2041220000.0
1503010000000.0,4108.37,4139.98,381.309763,2153,293.31,290.91,2146.19773,1795,21724.88086,21674.50977,309070000.0,6222.45996,6216.52979,1964590000.0
1503100000000.0,4120.98,4086.29,467.083022,2321,289.41,299.1,2510.13871,2038,21707.04037,21684.25651,298673333.3,6220.413247,6215.396487,1835083333.0
1503190000000.0,4069.13,4016.0,691.74306,3972,299.1,323.29,5219.44542,3925,21689.19987,21694.00326,288276666.7,6218.366533,6214.263183,1705576667.0
1503270000000.0,4016.0,4040.0,966.684858,6494,321.04,309.8,7956.35088,6577,21671.35938,21703.75,277880000.0,6216.31982,6213.12988,1576070000.0
1503360000000.0,4040.0,4114.01,1001.136565,8629,312.25,315.74,8665.72569,8540,21739.7793,21899.89062,244980000.0,6241.20996,6297.47998,1597700000.0
1503450000000.0,4147.0,4316.01,787.418753,6247,315.74,323.42,6753.27192,6495,21850.26953,21812.08984,234810000.0,6263.47021,6278.41016,1533220000.0
1503530000000.0,4316.01,4280.68,573.61274,6554,323.42,327.24,7125.96962,7452,21839.90039,21783.40039,228480000.0,6294.81982,6271.33008,1616780000.0
1503620000000.0,4280.71,4337.44,228.108068,2260,327.24,330.79,4877.68521,4400,21819.08008,21813.66992,217570000.0,6293.81006,6265.64014,1442900000.0
1503710000000.0,4332.51,4310.01,350.692585,3670,332.18,348.13,4635.43715,4973,21823.55339,21811.91341,217960000.0,6291.209963,6271.433433,1481496667.0
1503790000000.0,4310.01,4386.69,603.841616,4349,348.11,346.0,4279.1817,4526,21828.02669,21810.1569,218350000.0,6288.609867,6277.226727,1520093333.0
1503880000000.0,4353.65,4587.48,603.545028,4159,347.0,374.7,3032.13425,3265,21832.5,21808.40039,218740000.0,6286.00977,6283.02002,1558690000.0
1503960000000.0,4564.52,4555.14,808.468771,5551,374.7,385.93,4446.59608,4812,21718.0,21865.36914,227340000.0,6228.8999,6301.89014,1637640000.0
1504050000000.0,4555.14,4724.89,556.956802,4161,384.64,384.79,4435.86855,4574,21859.75977,21892.42969,242840000.0,6308.68018,6368.31006,1712070000.0
1504140000000.0,4689.89,4834.91,560.666366,4000,386.44,388.46,4198.68434,4124,21936.00977,21948.09961,376790000.0,6385.7998,6428.66016,1885710000.0
1504220000000.0,4796.16,4472.14,929.148595,7475,388.58,343.14,8240.32724,8217,21981.76953,21987.56055,256240000.0,6442.16992,6435.33008,1488040000.0
1504310000000.0,4508.5,4509.08,691.216198,6022,343.56,341.77,5253.62211,6153,21964.41943,21928.99805,275390000.0,6435.332395,6420.390015,1587767500.0
1504400000000.0,4505.0,4100.11,1394.644614,9317,339.29,283.77,6737.81061,7403,21947.06934,21870.43555,294540000.0,6428.49487,6405.44995,1687495000.0
1504480000000.0,4106.97,4366.47,1228.938157,10084,286.81,312.09,8344.41924,8999,21929.71924,21811.87305,313690000.0,6421.657345,6390.509885,1787222500.0
1504570000000.0,4366.49,4619.77,807.363726,7956,313.29,335.0,5486.30988,7089,21912.36914,21753.31055,332840000.0,6414.81982,6375.56982,1886950000.0
1504660000000.0,4619.77,4691.61,500.429975,3070,335.01,334.49,3103.89745,2635,21815.75977,21807.64062,318760000.0,6394.3501,6393.31006,1906030000.0
